task,sample,core,gff,time,memory
bamtoh5,248306899,16,6634,220.50750000000002,25153.638399999996
bamtoh5,248306899,32,6634,192.4477,42377.3184
hisat2orf,248306899,1,6634,48.2712,427.8873999999999
hisat2orf,248306899,2,6634,33.09780000000001,495.043
hisat2orf,248306899,4,6634,28.7851,631.0510000000002
hisat2orf,248306899,8,6634,31.0551,903.066
hisat2orf,248306899,16,6634,30.075399999999995,1446.912
hisat2orf,248306899,32,6634,31.597499999999997,2535.4239999999995
samviewsort,248306899,1,6634,20.539399999999997,1062.912
samviewsort,248306899,2,6634,16.5672,2086.2976
samviewsort,248306899,4,6634,14.8738,3695.2064
samviewsort,248306899,8,6634,13.684000000000001,6752.9728000000005
samviewsort,248306899,16,6634,13.932199999999998,12993.1264
samviewsort,248306899,32,6634,13.690299999999999,26616.934400000006
bamtoh5,977663477,1,6634,826.3315999999999,3521.1263999999996
bamtoh5,977663477,2,6634,521.0453,9116.4672
bamtoh5,977663477,4,6634,363.67300000000006,11232.460799999999
bamtoh5,977663477,8,6634,263.60249999999996,14746.521600000002
bamtoh5,977663477,16,6634,231.7326,24918.528
bamtoh5,977663477,32,6634,199.90179999999998,42467.9424
hisat2orf,977663477,1,6634,199.97816666666665,411.4247499999999
hisat2orf,977663477,2,6634,128.75099999999998,461.2845
hisat2orf,977663477,4,6634,111.6655,631.0510000000002
hisat2orf,977663477,8,6634,112.633,903.066
hisat2orf,977663477,16,6634,116.6291,1446.912
hisat2orf,977663477,32,6634,122.47970000000001,2535.4239999999995
samviewsort,977663477,1,6634,92.83260000000001,1078.0774999999999
samviewsort,977663477,2,6634,66.1867,2184.0896
samviewsort,977663477,4,6634,52.9095,4060.1600000000008
samviewsort,977663477,8,6634,47.261199999999995,7418.368
samviewsort,977663477,16,6634,49.043499999999995,14123.9296
samviewsort,977663477,32,6634,48.38190000000001,27492.966399999994
bamtoh5,3587510789,1,6634,1087.0158000000001,3863.4496
bamtoh5,3587510789,2,6634,634.9007000000001,8955.392
bamtoh5,3587510789,4,6634,402.2496,11184.742400000001
bamtoh5,3587510789,8,6634,301.26480000000004,15549.439999999999
bamtoh5,3587510789,16,6634,252.7014,24737.792
bamtoh5,3587510789,32,6634,210.3484,44538.98240000001
hisat2orf,3587510789,1,6634,890.8305999999999,406.78549999999984
hisat2orf,3587510789,2,6634,560.8582999999999,474.78950000000003
hisat2orf,3587510789,4,6634,447.65509999999995,631.0510000000002
hisat2orf,3587510789,8,6634,469.65959999999995,903.066
hisat2orf,3587510789,16,6634,518.0,1446.912
hisat2orf,3587510789,32,6634,509.68059999999997,2535.4239999999995
samviewsort,3587510789,1,6634,403.53290000000004,1123.1232
